scene_a,scene_b,same_family,same_expected,same_majority,mid_raw,final_raw,final_minus_mid,mid_centered,final_centered
scene_fc_blocked_v03,scene_translate_v03,False,True,False,0.9917223583,0.9894109929,-0.0023113654,-0.0203445638,-0.3321371886
scene_fc_blocked_v03,scene_translate_v04,False,True,False,0.9940316268,0.9925525973,-0.0014790294,-0.2902991129,0.1813772906
scene_fc_blocked_v03,scene_translate_v05,False,True,False,0.9966323554,0.9921701329,-0.0044622226,0.1492775646,0.5452831820
scene_fc_blocked_v03,scene_rotate_v01,False,True,False,0.9935411162,0.9953531384,0.0018120222,-0.3711175530,0.5068283878
scene_fc_blocked_v03,scene_rotate_v02,False,True,False,0.9950965851,0.9868670766,-0.0082295085,-0.0640167844,-0.5052256224
scene_fc_blocked_v03,scene_rotate_v03,False,True,False,0.9943991183,0.9934353249,-0.0009637934,0.0143027742,0.0913780308
scene_fc_blocked_v03,scene_rotate_v04,False,True,False,0.9955882540,0.9931169466,-0.0024713074,0.0606256821,0.0848745708
scene_fc_blocked_v03,scene_rotate_v05,False,True,False,0.9907991450,0.9902656408,-0.0005335043,-0.2092439732,-0.1694877560
scene_fc_blocked_v03,scene_lift_and_relocate_v01,False,True,False,0.9959635749,0.9896842218,-0.0062793531,0.0775747934,-0.3999969986
scene_fc_blocked_v03,scene_lift_and_relocate_v02,False,True,False,0.9953417335,0.9849091733,-0.0104325602,0.0463930978,-0.4132417870
scene_fc_blocked_v03,scene_lift_and_relocate_v03,False,True,False,0.9946384698,0.9812180561,-0.0134204137,-0.0525665542,-0.6298929617
scene_fc_blocked_v03,scene_lift_and_relocate_v04,False,True,False,0.9939254080,0.9923076426,-0.0016177654,-0.4470015667,0.3504926208
scene_fc_blocked_v03,scene_lift_and_relocate_v05,False,True,False,0.9912740917,0.9771254989,-0.0141485928,-0.1381923861,-0.6729745219
scene_fc_blocked_v04,scene_fc_blocked_v05,True,True,True,0.9918484758,0.9887691010,-0.0030793749,-0.0758897347,0.1895066467
scene_fc_blocked_v04,scene_translate_v01,False,True,True,0.9907887813,0.9785004715,-0.0122883097,-0.3971264296,-0.4772659568
scene_fc_blocked_v04,scene_translate_v02,False,True,True,0.9926276498,0.9843567232,-0.0082709266,-0.1379897542,-0.2117836688
scene_fc_blocked_v04,scene_translate_v03,False,True,True,0.9915230354,0.9937213813,0.0021983459,0.0006365902,-0.0063146548
scene_fc_blocked_v04,scene_translate_v04,False,True,True,0.9954800627,0.9897679261,-0.0057121365,0.0687628033,-0.4569487497
scene_fc_blocked_v04,scene_translate_v05,False,True,True,0.9959527546,0.9835413205,-0.0124114342,0.0395350246,-0.1874656195
scene_fc_blocked_v04,scene_rotate_v01,False,True,True,0.9945956819,0.9901392339,-0.0044564481,-0.0872260667,-0.3525643480
scene_fc_blocked_v04,scene_rotate_v02,False,True,True,0.9946801545,0.9944733600,-0.0002067945,-0.0756956836,0.2134866927
scene_fc_blocked_v04,scene_rotate_v03,False,True,True,0.9930120365,0.9928097075,-0.0002023290,-0.1740992062,-0.4172438743
scene_fc_blocked_v04,scene_rotate_v04,False,True,True,0.9949185750,0.9933932390,-0.0015253359,-0.0112185940,-0.2115285449
scene_fc_blocked_v04,scene_rotate_v05,False,True,True,0.9912808244,0.9934357043,0.0021548799,-0.0840956396,-0.0101135202
scene_fc_blocked_v04,scene_lift_and_relocate_v01,False,True,True,0.9960389940,0.9948931361,-0.0011458579,0.1541003877,0.1071961944
scene_fc_blocked_v04,scene_lift_and_relocate_v02,False,True,True,0.9954331934,0.9905014103,-0.0049317831,0.1232488183,-0.0565071699
scene_fc_blocked_v04,scene_lift_and_relocate_v03,False,True,True,0.9958928210,0.9911021650,-0.0047906560,0.2354624033,0.1146390389
scene_fc_blocked_v04,scene_lift_and_relocate_v04,False,True,True,0.9951026451,0.9855508042,-0.0095518409,-0.1043021960,-0.5059179935
scene_fc_blocked_v04,scene_lift_and_relocate_v05,False,True,True,0.9920910040,0.9873395991,-0.0047514049,0.0273503987,-0.0301706953
scene_fc_blocked_v05,scene_translate_v01,False,True,True,0.9910026704,0.9780109589,-0.0129917115,0.1379039891,0.0216488981
scene_fc_blocked_v05,scene_translate_v02,False,True,True,0.9944779905,0.9909265962,-0.0035513942,0.4226674699,0.5516325495
scene_fc_blocked_v05,scene_translate_v03,False,True,True,0.9843707793,0.9808577342,-0.0035130451,-0.4212593093,-0.5297649252
scene_fc_blocked_v05,scene_translate_v04,False,True,True,0.9928425625,0.9894630243,-0.0033795382,0.0921523881,0.2789307920
scene_fc_blocked_v05,scene_translate_v05,False,True,True,0.9924977357,0.9939745397,0.0014768040,-0.0743873739,0.7162901152
scene_fc_blocked_v05,scene_rotate_v01,False,True,True,0.9918616379,0.9910411796,-0.0008204583,-0.0556239576,0.4099633354
scene_fc_blocked_v05,scene_rotate_v02,False,True,True,0.9887691295,0.9805774409,-0.0081916887,-0.5198676569,-0.4348224629
scene_fc_blocked_v05,scene_rotate_v03,False,True,True,0.9880749031,0.9868521945,-0.0012227086,-0.3704864285,-0.1061519337
scene_fc_blocked_v05,scene_rotate_v04,False,True,True,0.9884955398,0.9852594359,-0.0032361039,-0.5201822939,-0.2236236464
scene_fc_blocked_v05,scene_rotate_v05,False,True,True,0.9824895791,0.9818578306,-0.0006317485,-0.6426870995,-0.3959560650
