scene_a,scene_b,short_a,short_b,family_a,family_b,a_fc_clear,b_fc_clear,a_semantic_clear,b_semantic_clear,block24_cosine,final_cosine,final_minus_block24
scene_fc_clear_v02,scene_lift_and_relocate_v01,C2,L1,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9978496196679846,0.9872132073179056,-0.01063641235007895
scene_fc_clear_v02,scene_lift_and_relocate_v02,C2,L2,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9981716669683022,0.9869562544665926,-0.011215412501709543
scene_fc_clear_v02,scene_lift_and_relocate_v03,C2,L3,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9979066341740632,0.9864042523171617,-0.011502381856901556
scene_fc_clear_v02,scene_lift_and_relocate_v04,C2,L4,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.998557794924438,0.9843308756704148,-0.014226919254023196
scene_fc_clear_v02,scene_lift_and_relocate_v05,C2,L5,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9983676504315199,0.9896221398014808,-0.008745510630039033
scene_fc_clear_v02,scene_rotate_v01,C2,R1,FC_CLEAR,ROTATE,True,False,True,False,0.9987264666560914,0.9956471148849759,-0.0030793517711155127
scene_fc_clear_v02,scene_rotate_v02,C2,R2,FC_CLEAR,ROTATE,True,False,True,False,0.9987971247924674,0.9918512019523453,-0.006945922840122076
scene_fc_clear_v02,scene_rotate_v03,C2,R3,FC_CLEAR,ROTATE,True,False,True,False,0.9983796088105696,0.988671855360975,-0.009707753449594625
scene_fc_clear_v02,scene_rotate_v04,C2,R4,FC_CLEAR,ROTATE,True,False,True,False,0.998620941091146,0.9938314257365236,-0.0047895153546223534
scene_fc_clear_v02,scene_rotate_v05,C2,R5,FC_CLEAR,ROTATE,True,False,True,False,0.9979729904833606,0.9949531641541371,-0.003019826329223485
scene_fc_clear_v02,scene_translate_v01,C2,T1,FC_CLEAR,TRANSLATE,True,False,True,False,0.9983617685296388,0.9817531140380502,-0.016608654491588548
scene_fc_clear_v02,scene_translate_v02,C2,T2,FC_CLEAR,TRANSLATE,True,False,True,False,0.9985157321071901,0.9773624590063481,-0.02115327310084203
scene_fc_clear_v02,scene_translate_v03,C2,T3,FC_CLEAR,TRANSLATE,True,False,True,False,0.9981162854846328,0.9913204986263504,-0.0067957868582824155
scene_fc_clear_v02,scene_translate_v04,C2,T4,FC_CLEAR,TRANSLATE,True,False,True,False,0.9984389110568223,0.9882535970665801,-0.01018531399024214
scene_fc_clear_v02,scene_translate_v05,C2,T5,FC_CLEAR,TRANSLATE,True,False,True,False,0.9986622388088716,0.9884700377216464,-0.010192201087225183
scene_fc_clear_v03,scene_fc_clear_v04,C3,C4,FC_CLEAR,FC_CLEAR,True,True,True,True,0.999430341624224,0.9962543120628639,-0.003176029561360094
scene_fc_clear_v03,scene_fc_clear_v05,C3,C5,FC_CLEAR,FC_CLEAR,True,True,True,False,0.9992865247235012,0.9818914532592646,-0.017395071464236578
scene_fc_clear_v03,scene_lift_and_relocate_v01,C3,L1,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9976077354056923,0.9859733400220201,-0.01163439538367217
scene_fc_clear_v03,scene_lift_and_relocate_v02,C3,L2,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9981577884441245,0.9864032287367437,-0.011754559707380818
scene_fc_clear_v03,scene_lift_and_relocate_v03,C3,L3,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.997750863423762,0.985629070502144,-0.012121792921617969
scene_fc_clear_v03,scene_lift_and_relocate_v04,C3,L4,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9984503091698982,0.9836347727430967,-0.014815536426801446
scene_fc_clear_v03,scene_lift_and_relocate_v05,C3,L5,FC_CLEAR,LIFT_AND_RELOCATE,True,False,True,False,0.9984617772769427,0.9886215773570732,-0.009840199919869508
scene_fc_clear_v03,scene_rotate_v01,C3,R1,FC_CLEAR,ROTATE,True,False,True,False,0.9985375689058669,0.9945520014876879,-0.003985567418179015
scene_fc_clear_v03,scene_rotate_v02,C3,R2,FC_CLEAR,ROTATE,True,False,True,False,0.9987706415484721,0.9918800216971302,-0.006890619851341873
scene_fc_clear_v03,scene_rotate_v03,C3,R3,FC_CLEAR,ROTATE,True,False,True,False,0.9982167561775734,0.9871641653189371,-0.011052590858636302
scene_fc_clear_v03,scene_rotate_v04,C3,R4,FC_CLEAR,ROTATE,True,False,True,False,0.9985255802566817,0.9941088649619372,-0.004416715294744522
scene_fc_clear_v03,scene_rotate_v05,C3,R5,FC_CLEAR,ROTATE,True,False,True,False,0.9976647198389729,0.9930002760802705,-0.004664443758702341
